State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Graduate_Education,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households,sex_ratio,Literacy Rate,Female_Literacy_Gap
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,1066460,257207,1417572,2399901,275970,15422,1377,25510,617,194954,566108,5512,817714,100226,8338,306433,403530,191052,270862,1001.0,54.112282803506005,16.814274453437626
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,1679655,356511,2044982,3599372,443456,20463,932,341,1417,223016,897970,8606,1244428,144915,9915,559461,581087,353948,819675,977.0,56.62524368143473,16.610224820263085
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,1669852,263505,2240707,3737588,397870,24129,867,253,1322,324406,944555,13763,1303870,246409,16296,611465,632803,382377,835606,997.0,63.915598802509976,14.262161863880307
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,1748117,345564,3060615,4983330,77777,77825,738,413,4149,479914,1297273,22411,1605841,263023,25381,821421,732492,800168,908806,1006.0,63.80264152466215,6.007014392875121
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,2106326,275298,2506189,4217597,559770,89763,764,323,3282,648568,1186028,19383,1582990,221924,17424,816849,733133,762845,739450,1003.0,60.56780404651324,12.811973243543406
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,1096081,317216,2530026,2046051,1713405,87522,11446,1268,19560,581509,869721,149034,1066289,558090,124106,746818,799174,868186,862054,954.0,73.34309160066269,6.31324643484763
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,1590304,286464,1899501,3491139,244723,24979,2086,332,312,344667,926768,8831,1165280,256633,14175,589283,691495,452865,681510,1008.0,58.43940143035361,16.747972534007882
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,1215871,194191,1387308,2595321,158887,33463,655,217,459,219710,668519,8628,870625,160804,11887,416734,427722,360531,468045,1011.0,58.27738196949277,13.013847465914663
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,1744978,303902,2468518,4023678,307043,145598,1393,863,6320,632890,1163932,30438,1476334,328454,27969,794346,743696,863417,903992,992.0,66.62503503122815,7.820512169637784
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,1757520,271905,2024038,3328380,670737,33165,737,255,2235,195001,816721,10081,1090835,115504,10622,543044,572406,353289,696977,988.0,52.47762222080231,17.391337508513804
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,1815643,266858,1970527,3673456,334172,21345,658,290,388,136843,757821,6153,1010015,98227,12615,362791,570261,231015,681260,977.0,47.881386459703705,17.43459647286721
