name,rating,reviews,industry,location,highly_rated,critically_rated
TCS,3.4,1.1L,IT Services & Consulting,Bangalore / Bengaluru +435 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.7,69.7k,IT Services & Consulting,Bangalore / Bengaluru +249 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Wipro,3.6,62k,IT Services & Consulting,Hyderabad / Secunderabad +367 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cognizant,3.7,59k,IT Services & Consulting,Hyderabad / Secunderabad +228 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capgemini,3.7,50.6k,IT Services & Consulting,Bangalore / Bengaluru +183 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDFC Bank,3.8,49.3k,Banking,Mumbai +1801 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.5,46.4k,IT Services & Consulting,Bangalore / Bengaluru +244 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0,44.5k,Banking,Mumbai +1430 other locations,"Job Security, Skill Development / Learning, Company Culture",
HCLTech,3.4,43.6k,IT Services & Consulting,Chennai +227 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.4,41.6k,IT Services & Consulting,Hyderabad / Secunderabad +332 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.6,39.9k,IT Services & Consulting,Hyderabad / Secunderabad +182 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Teleperformance,3.8,35.8k,BPO,Mumbai +251 other locations,,
Axis Bank,3.6,31.6k,Banking,Mumbai +1488 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Concentrix Corporation,3.6,31k,BPO,Bangalore / Bengaluru +175 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Jio,4.3,31k,Telecom,Mumbai +1836 other locations,"Job Security, Skill Development / Learning, Company Culture",
Amazon,3.9,30.1k,Internet,Bangalore / Bengaluru +517 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
iEnergizer,4.6,27.3k,BPO,Noida +50 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Reliance Retail,3.9,26.5k,Retail,Mumbai +1137 other locations,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
IBM,3.9,25k,IT Services & Consulting,Bangalore / Bengaluru +160 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
LTIMindtree,3.6,24.7k,IT Services & Consulting,Bangalore / Bengaluru +143 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDB Financial Services,3.9,24.6k,NBFC,Mumbai +1077 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Larsen & Toubro Limited,3.9,22.7k,Engineering & Construction,Chennai +745 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
Deloitte,3.7,21.9k,Management Consulting,Hyderabad / Secunderabad +183 other locations,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Kotak Mahindra Bank,3.6,21.4k,Banking,Mumbai +673 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Reliance Industries,4.0,19.4k,Oil & Gas,Jamnagar +802 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Vodafone Idea,3.9,17.3k,Telecom,Pune +699 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
BYJU'S,3.2,16.6k,EdTech,Bangalore / Bengaluru +322 other locations,,"Job Security, Work Life Balance, Company Culture"
Bharti Airtel,3.9,16.5k,Telecom,Gurgaon / Gurugram +778 other locations,Skill Development / Learning,Promotions / Appraisal
WNS,3.3,14.5k,IT Services & Consulting,Pune +64 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
AU Small Finance Bank,3.9,13.7k,Banking,Jaipur +765 other locations,"Salary & Benefits, Work Life Balance, Job Security",
Tata Motors,4.1,13.7k,Automobile,Pune +503 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Ernst & Young,3.4,13.6k,Management Consulting,Bangalore / Bengaluru +130 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
IndusInd Bank,3.4,13.5k,Banking,Mumbai +785 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
IDFC FIRST Bank,3.9,13.4k,Banking,Mumbai +706 other locations,"Salary & Benefits, Skill Development / Learning",
Flipkart,3.9,12.4k,Internet,Bangalore / Bengaluru +557 other locations,"Company Culture, Skill Development / Learning",Promotions / Appraisal
