Serial_No,Brand,Product_Name,Price,Original_Price,Discount,Product_Link,Image_URL
1,Decathlon,WEDZE - Men Warm Winter Beanie,₹399,₹699,(43% off),https://www.ajio.com/decathlon-wedze--men-warm-winter-beanie/p/702234620_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251113/KYOY/691602eca470c5082f8d2254/decathlon_blue_wedze_-_men_warm_winter_beanie.jpg
2,Decathlon,WEDZE - Men Warm Winter Headband,₹249,₹299,(17% off),https://www.ajio.com/decathlon-wedze--men-warm-winter-headband/p/702373880_grey?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/ZMum/6916adf7a470c5082f90884f/decathlon_grey_wedze_-_men_warm_winter_headband.jpg
3,Decathlon,WEDZE - Unisex Wide Winter Headband,₹249,₹499,(50% off),https://www.ajio.com/decathlon-wedze--unisex-wide-winter-headband/p/702373976_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251113/a0Ow/69160ff2a470c5082f8d8dec/decathlon_blue_wedze_-_unisex_wide_winter_headband.jpg
4,Decathlon,WEDZE - Unisex Solid Winter Beanie,₹149,₹199,(25% off),https://www.ajio.com/decathlon-wedze--unisex-solid-winter-beanie/p/702229505_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/rsrz/69166427a470c5082f900fef/decathlon_black_wedze_-_unisex_solid_winter_beanie.jpg
5,Puma,Essential Running Cap,₹270,₹599,(55% off),https://www.ajio.com/puma-essential-running-cap/p/460807245_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20210202/4H2e/601987bdf997dd5c40e5441c/puma__essential_running_cap.jpg
6,BEWAKOOF,Unisex Marvel Unisex Embroidered Baseball Cap,₹449,"₹1,299",(65% off),https://www.ajio.com/bewakoof-unisex-marvel-unisex-embroidered-baseball-cap/p/702117678_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250815/8fvO/689e41e93d468c61ab6ee0f4/bewakoof_blue_unisex_marvel_unisex_embroidered_baseball_cap.jpg
7,Decathlon,WEDZE - Men Warm Winter Beanie,₹699,"₹1,499",(53% off),https://www.ajio.com/decathlon-wedze--men-warm-winter-beanie/p/702229454_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/I6Ku/6916da8c88d6d62ff8ea3dd7/decathlon_black_wedze_-_men_warm_winter_beanie.jpg
8,Decathlon,WEDZE - Unisex Patterned Winter Beanie,₹599,₹699,(14% off),https://www.ajio.com/decathlon-wedze--unisex-patterned-winter-beanie/p/702298074_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250922/dY0X/68d17ea33d468c61ab177226/decathlon_black_wedze_-_unisex_patterned_winter_beanie.jpg
9,BISON INDIA,Men Embroidered Cap,₹640,"₹1,599",(60% off),https://www.ajio.com/bison-india-men-embroidered-cap/p/702294493_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250922/cxnz/68d14f938bfb9009ac254eed/bison_india_red_men_embroidered_cap.jpg
10,MAX,Embroidered Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/max-embroidered-baseball-cap/p/702062327_blue?,
11,ARMANI EXCHANGE,Men Snapback Cap with Embossed Branding,"₹3,599","₹5,999",(40% off),https://www.ajio.com/armani-exchange-men-snapback-cap-with-embossed-branding/p/410109452_nero11?,
12,BISON INDIA,Unisex Embroidered Baseball Cap with Buckle Fastening,₹640,"₹1,599",(60% off),https://www.ajio.com/bison-india-unisex-embroidered-baseball-cap-with-buckle-fastening/p/702298958_blue?,
13,SUPERDRY,Patched Baseball Cap,"₹1,706","₹3,790",(55% off),https://www.ajio.com/superdry-patched-baseball-cap/p/410479963_jua?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250516/11YV/682715c755340d4b4f3a291f/superdry_blue_patched_baseball_cap.jpg
14,Puma,Cat Logo Cap,₹210,₹599,(65% off),https://www.ajio.com/puma-cat-logo-cap/p/467090116_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240220/UEIP/65d47ec316fd2c6e6a0b72d1/puma_black_cat_logo_cap.jpg
15,BISON INDIA,Men Cotton Cap,₹479,₹799,(40% off),https://www.ajio.com/bison-india-men-cotton-cap/p/700961595_olive?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241222/kENU/6767ed32c148fa1b3054d9d5/bison_india_olive_men_cotton_cap.jpg
16,Puma,BMW M Motorsport Bb Cap,₹675,"₹1,499",(55% off),https://www.ajio.com/puma-bmw-m-motorsport-bb-cap/p/460742879_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20220214/ba6c/620a70e2f997dd03e2cda44e/puma_black_bmw_m_motorsport_bb_cap.jpg
17,GAS,Men Logo Print Acrylic-Blend Beanie,"₹2,999","₹3,999",(25% off),https://www.ajio.com/gas-men-logo-print-acrylic-blend-beanie/p/410519130_4706?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251024/x7vx/68fba28c0bb2bb61bc299522/gas_black_men_logo_print_acrylic-blend_beanie.jpg
18,BISON INDIA,Unisex Embroidered Baseball Cap with Buckle Fastening,₹640,"₹1,599",(60% off),https://www.ajio.com/bison-india-unisex-embroidered-baseball-cap-with-buckle-fastening/p/702298959_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250923/Iob4/68d1fbaf8bfb9009ac27477b/bison_india_black_unisex_embroidered_baseball_cap_with_buckle_fastening.jpg
19,ARMANI EXCHANGE,Milano Edition Logo Cap,"₹4,740","₹9,480",(50% off),https://www.ajio.com/armani-exchange-milano-edition-logo-cap/p/410475818_62636?,
20,ARMANI EXCHANGE,Baseball hat-man-accessory 00020 tu,"₹4,000","₹7,999",(50% off),https://www.ajio.com/armani-exchange-baseball-hat-man-accessory-00020-tu/p/410498864_00020?,
21,BISON INDIA,Men Regular Fit Cap,₹479,₹799,(40% off),https://www.ajio.com/bison-india-men-regular-fit-cap/p/701307359_maroon?,
22,Puma,Men Western Beanie,"₹1,199","₹1,999",(40% off),https://www.ajio.com/puma-men-western-beanie/p/701901250_black?,
23,Columbia,Unisex Knitted Beanie with Logo Patch,"₹1,999",N/A,N/A,https://www.ajio.com/columbia-unisex-knitted-beanie-with-logo-patch/p/701991703_black?,
24,BISON INDIA,Men Regular Fit Cap,₹479,₹799,(40% off),https://www.ajio.com/bison-india-men-regular-fit-cap/p/701302131_black?,
25,THE TIE HUB,Men Belted Fedora Hat with Wide Brim,"₹2,813","₹6,250",(55% off),https://www.ajio.com/the-tie-hub-men-belted-fedora-hat-with-wide-brim/p/466465333_black?,
26,ARMANI EXCHANGE,Men Cotton Baseball Cap with Brand Applique,"₹3,500","₹6,999",(50% off),https://www.ajio.com/armani-exchange-men-cotton-baseball-cap-with-brand-applique/p/410498863_14439?,
27,BISON INDIA,Men Regular Fit Cap,₹479,₹799,(40% off),https://www.ajio.com/bison-india-men-regular-fit-cap/p/701307357_white?,
28,Decathlon,WEDZE - Men Patch-Work Knitted Beanie,₹549,₹999,(45% off),https://www.ajio.com/decathlon-wedze--men-patch-work-knitted-beanie/p/702496339_beige?,
29,ARMANI EXCHANGE,Men Logo Print Cotton Baseball Cap,"₹4,000","₹7,999",(50% off),https://www.ajio.com/armani-exchange-men-logo-print-cotton-baseball-cap/p/410498864_20811?,
30,BISON INDIA,Men Regular Fit Cap,₹479,₹799,(40% off),https://www.ajio.com/bison-india-men-regular-fit-cap/p/701307362_blue?,
31,ARMANI EXCHANGE,MI / NY Baseball Cap,"₹3,500","₹6,999",(50% off),https://www.ajio.com/armani-exchange-mi--ny-baseball-cap/p/410533143_uc001?,
32,French Accent,Textured Baseball Cap,₹675,"₹1,985",(66% off),https://www.ajio.com/french-accent-textured-baseball-cap/p/465144180_brown?,
33,Puma,Metal Cat Cap,₹400,₹999,(60% off),https://www.ajio.com/puma-metal-cat-cap/p/700656174_green?,
34,Decathlon,WEDZE - Men Jacquard Beanie,₹899,₹949,(5% off),https://www.ajio.com/decathlon-wedze--men-jacquard-beanie/p/702494128_blue?,
35,Puma,Scuderia Ferrari Race Motorsport Cap,₹899,"₹1,499",(40% off),https://www.ajio.com/puma-scuderia-ferrari-race-motorsport-cap/p/467066481_black?,
36,Decathlon,WEDZE - Unisexski Fleece Balaclava Beanie,₹249,₹299,(17% off),https://www.ajio.com/decathlon-wedze--unisexski-fleece-balaclava-beanie/p/702234411_black?,
37,ARMANI EXCHANGE,Men Baseball Cap with Brand Applique,"₹3,000","₹5,999",(50% off),https://www.ajio.com/armani-exchange-men-baseball-cap-with-brand-applique/p/410142361_navy?,
38,Puma,Men Western Beanie,₹809,"₹1,799",(55% off),https://www.ajio.com/puma-men-western-beanie/p/701901270_black?,
39,Aashirwad Crafts,Woolen Winter Beanie,₹400,₹799,(50% off),https://www.ajio.com/aashirwad-crafts-woolen-winter-beanie/p/701440984_black?,
40,Decathlon,FORCLAZ - Unisex Quick Dry Travel Cap,₹229,₹299,(23% off),https://www.ajio.com/decathlon-forclaz--unisex-quick-dry-travel-cap/p/702229481_grey?,
41,Decathlon,WEDZE - Adult Balck Sherpa Trapper Winter Beanie,"₹1,699",N/A,N/A,https://www.ajio.com/decathlon-wedze--adult-balck-sherpa-trapper-winter-beanie/p/702229427_black?,
42,Decathlon,WEDZE - Men Jacquard Beanie,₹599,₹649,(8% off),https://www.ajio.com/decathlon-wedze--men-jacquard-beanie/p/702494125_black?,
43,Decathlon,KIPRUN - Adults Solid Beanie,₹289,₹299,(3% off),https://www.ajio.com/decathlon-kiprun--adults-solid-beanie/p/702229464_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251113/6l95/6915d787a470c5082f8cc6dd/decathlon_black_kiprun_-_adults_solid_beanie.jpg
