"Company";"TypeName";"Inches";"Screen_width";"Screen_height";"TouchScreen";"IPS_Panel";"Ram";"Gpu_Brand";"Gpu_Name";"OpSys";"Weight";"Price";"Cpu_brand";"Cpu_Speed_Ghz";"Cpu_Model";"Cpu_type";"Memory_1_Type";"Memory_1_Size";"Memory_2_Type";"Memory_2_Size"
"Apple";"Ultrabook";13.3;2560;1600;0;1;8;"Intel";" Iris Plus Graphics 640";"macOS";1.37;71379;"Intel";2.3;"Core i5";"Core i5";"SSD";128;"";0
"Apple";"Ultrabook";13.3;1440;900;0;0;8;"Intel";" HD Graphics 6000";"macOS";1.34;47896;"Intel";1.8;"Core i5";"Core i5";"Flash Storage";128;"";0
"HP";"Notebook";15.6;1920;1080;0;0;8;"Intel";" HD Graphics 620";"No OS";1.86;30636;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"Apple";"Ultrabook";15.4;2880;1800;0;1;16;"AMD";" Radeon Pro 455";"macOS";1.83;135195;"Intel";2.7;"Core i7";"Core i7";"SSD";512;"";0
"Apple";"Ultrabook";13.3;2560;1600;0;1;8;"Intel";" Iris Plus Graphics 650";"macOS";1.37;96096;"Intel";3.1;"Core i5";"Core i5";"SSD";256;"";0
"Acer";"Notebook";15.6;1366;768;0;0;4;"AMD";" Radeon R5";"Windows 10";2.1;21312;"AMD";3.0;"A9-Series 9420 3GHz";"A9-Series 9420";"HDD";500;"";0
"Apple";"Ultrabook";15.4;2880;1800;0;1;16;"Intel";" Iris Pro Graphics";"macOS";2.04;114018;"Intel";2.2;"Core i7";"Core i7";"Flash Storage";256;"";0
"Apple";"Ultrabook";13.3;1440;900;0;0;8;"Intel";" HD Graphics 6000";"macOS";1.34;61736;"Intel";1.8;"Core i5";"Core i5";"Flash Storage";256;"";0
"Asus";"Ultrabook";14.0;1920;1080;0;0;16;"Nvidia";" GeForce MX150";"Windows 10";1.3;79654;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";512;"";0
"Acer";"Ultrabook";14.0;1920;1080;0;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.6;41026;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"HP";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 620";"No OS";1.86;20987;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";500;"";0
"HP";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 520";"No OS";1.86;18381;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";500;"";0
"Apple";"Ultrabook";15.4;2880;1800;0;1;16;"AMD";" Radeon Pro 555";"macOS";1.83;130002;"Intel";2.8;"Core i7";"Core i7";"SSD";256;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;4;"AMD";" Radeon R5 M430";"Windows 10";2.2;26581;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"SSD";256;"";0
"Apple";"Ultrabook";12.0;2304;1440;0;1;8;"Intel";" HD Graphics 615";"macOS";0.92;67261;"Intel";1.2;"Core M m3";"Core M";"SSD";256;"";0
"Apple";"Ultrabook";13.3;2560;1600;0;1;8;"Intel";" Iris Plus Graphics 640";"macOS";1.37;80908;"Intel";2.3;"Core i5";"Core i5";"SSD";256;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon R5 M430";"Windows 10";2.2;39694;"Intel";2.7;"Core i7 7500U";"Core i7";"SSD";256;"";0
"Apple";"Ultrabook";15.4;2880;1800;0;1;16;"AMD";" Radeon Pro 560";"macOS";1.83;152274;"Intel";2.9;"Core i7";"Core i7";"SSD";512;"";0
"Lenovo";"Notebook";15.6;1920;1080;0;0;8;"Nvidia";" GeForce 940MX";"No OS";2.2;26587;"Intel";2.4;"Core i3 7100U";"Core i3";"HDD";1024;"";0
"Dell";"Ultrabook";13.3;1920;1080;1;1;8;"Intel";" UHD Graphics 620";"Windows 10";1.22;52161;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";128;"";0
"Lenovo";"Gaming";15.6;1920;1080;0;1;8;"Nvidia";" GeForce GTX 1050";"Windows 10";2.5;53227;"Intel";2.5;"Core i5 7300HQ";"Core i5";"SSD";128;"HDD";1024
"HP";"Notebook";15.6;1366;768;0;0;4;"AMD";" Radeon R2";"No OS";1.86;13746;"AMD";1.5;"E-Series E2-9000e";"E-Series E2-9000e";"HDD";500;"";0
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.62;43636;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"HP";"Ultrabook";15.6;1920;1080;0;0;8;"Intel";" HD Graphics 620";"Windows 10";1.91;35112;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"Dell";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 520";"Windows 10";2.3;22305;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";1024;"";0
"Apple";"Ultrabook";13.3;1440;900;0;0;8;"Intel";" HD Graphics 6000";"macOS";1.35;58555;"Intel";1.6;"Core i5";"Core i5";"Flash Storage";128;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon 530";"Windows 10";2.2;42624;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Dell";"Ultrabook";15.6;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.88;69157;"Intel";1.9;"Core i7 8650U";"Core i7";"SSD";256;"SSD";256
"HP";"Notebook";17.3;1920;1080;0;0;8;"Nvidia";" GeForce 930MX";"Windows 10";2.5;47739;"Intel";1.6;"Core i5 8250U";"Core i5";"HDD";1024;"";0
"Chuwi";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics";"Windows 10";1.89;13053;"Intel";1.4;"Atom x5-Z8300 1.44GHz";"Atom x5-Z8300";"Flash Storage";64;"";0
"Asus";"Notebook";14.0;1366;768;0;0;2;"AMD";" Radeon R2";"Windows 10";1.65;10603;"AMD";1.5;"E-Series E2-6110";"E-Series E2-6110";"Flash Storage";32;"";0
"HP";"Notebook";17.3;1920;1080;0;0;4;"AMD";" Radeon 530";"Windows 10";2.71;23390;"AMD";2.5;"A6-Series 9220";"A6-Series 9220";"HDD";500;"";0
"Dell";"Ultrabook";13.3;3200;1800;1;0;16;"Intel";" UHD Graphics 620";"Windows 10";1.2;99580;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";512;"";0
"Apple";"Ultrabook";13.3;1440;900;0;0;8;"Intel";" HD Graphics 6000";"macOS";1.35;53173;"Intel";1.6;"Core i5";"Core i5";"Flash Storage";256;"";0
"Lenovo";"Notebook";14.0;1366;768;0;0;4;"Intel";" HD Graphics 500";"Windows 10";1.44;13267;"Intel";1.1;"Celeron Dual Core N3350";"Celeron Dual";"Flash Storage";64;"";0
"Acer";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 620";"Linux";2.1;19554;"Intel";2.7;"Core i3 7130U";"Core i3";"HDD";1024;"";0
"Dell";"Notebook";17.3;1920;1080;0;1;8;"AMD";" Radeon 530";"Windows 10";2.8;52161;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";128;"HDD";1024
"HP";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 620";"Windows 10";1.86;26037;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";1024;"";0
"HP";"Notebook";15.6;1920;1080;0;0;8;"Nvidia";" GeForce 930MX ";"Windows 10";2.1;46833;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Asus";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 620";"Linux";2.0;20726;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";1024;"";0
"Dell";"Gaming";15.6;1920;1080;0;1;16;"Nvidia";" GeForce GTX 1060";"Windows 10";2.65;79867;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";256;"HDD";1024
"Asus";"Notebook";15.6;1366;768;0;0;8;"Nvidia";" GeForce 940MX";"Linux";2.3;27865;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";1024;"";0
"Acer";"Notebook";15.6;1920;1080;0;1;4;"Intel";" UHD Graphics 620";"Windows 10";2.2;36337;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Dell";"2 in 1 Convertible";17.3;1920;1080;1;0;12;"Nvidia";" GeForce 150MX";"Windows 10";2.77;53227;"Intel";1.6;"Core i5 8250U";"Core i5";"HDD";1024;"";0
"Apple";"Ultrabook";13.3;2560;1600;0;1;8;"Intel";" Iris Graphics 540";"macOS";1.37;75604;"Intel";2.0;"Core i5";"Core i5";"SSD";256;"";0
"Asus";"Gaming";17.3;1920;1080;0;0;8;"AMD";" Radeon RX 580";"Windows 10";3.2;69211;"AMD";3.0;"Ryzen 1700 3GHz";"Ryzen 1700";"SSD";256;"HDD";1024
"Dell";"Notebook";15.6;1920;1080;0;0;4;"AMD";" Radeon R5 M430";"Windows 10";2.3;34046;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"Asus";"Notebook";17.3;1366;768;0;0;4;"Nvidia";" GeForce 920MX";"Windows 10";2.8;24828;"Intel";1.1;"Pentium Quad Core N4200";"Pentium Quad";"HDD";1024;"";0
"Acer";"Notebook";15.6;1920;1080;0;1;8;"Nvidia";" GeForce MX150";"Windows 10";2.2;44808;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"HP";"Notebook";15.6;1920;1080;0;0;4;"AMD";" Radeon R4 Graphics";"Windows 10";1.86;21232;"AMD";2.5;"A6-Series 9220";"A6-Series 9220";"SSD";256;"";0
"HP";"Notebook";13.3;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.49;58768;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";512;"";0
"Acer";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 620";"Windows 10";2.4;20460;"Intel";2.4;"Core i3 7100U";"Core i3";"HDD";1024;"";0
"Dell";"Notebook";15.6;1920;1080;0;0;8;"AMD";" Radeon 520";"Windows 10";2.13;40908;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"";0
"HP";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 520";"Windows 10";1.91;23390;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"SSD";128;"";0
"Asus";"Notebook";15.6;1366;768;0;0;4;"Intel";" HD Graphics 620";"Windows 10";2.0;31232;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"MSI";"Gaming";17.3;1920;1080;0;0;16;"Nvidia";" GeForce GTX 1070";"Windows 10";2.43;130483;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";256;"HDD";1024
"Asus";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 520";"Linux";2.0;22111;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"SSD";256;"";0
"Dell";"Notebook";17.3;1920;1080;0;0;16;"AMD";" Radeon 530";"Windows 10";2.8;69211;"Intel";1.8;"Core i7 8550U";"Core i7";"SSD";256;"HDD";1024
"Dell";"Ultrabook";14.0;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.7;46833;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"Lenovo";"Notebook";14.0;1920;1080;0;1;8;"Intel";" HD Graphics 620";"No OS";1.7;31915;"Intel";2.7;"Core i3 7130U";"Core i3";"SSD";256;"";0
"Asus";"Notebook";14.0;1920;1080;0;0;8;"Intel";" UHD Graphics 620";"Windows 10";1.4;50136;"Intel";1.6;"Core i5 8250U";"Core i5";"SSD";256;"";0
"HP";"Notebook";15.6;1920;1080;0;0;8;"Intel";" HD Graphics 620";"Windows 10";1.86;36763;"Intel";2.5;"Core i5 7200U";"Core i5";"SSD";256;"";0
"Asus";"Ultrabook";15.6;1920;1080;0;0;16;"Nvidia";" GeForce GTX 1050 Ti";"Windows 10";1.8;105654;"Intel";2.8;"Core i7 7700HQ";"Core i7";"SSD";512;"";0
"HP";"Notebook";15.6;1366;768;0;0;4;"AMD";" Radeon 520";"Windows 10";1.86;23373;"Intel";2.0;"Core i3 6006U 2GHz";"Core i3";"HDD";500;"";0
"HP";"Notebook";14.0;1366;768;0;0;4;"Intel";" HD Graphics 400";"Windows 10";1.44;12201;"Intel";1.6;"Celeron Dual Core N3060";"Celeron Dual";"SSD";32;"";0
"Lenovo";"Notebook";15.6;1920;1080;0;0;4;"Intel";" HD Graphics 620";"Windows 10";1.9;29251;"Intel";2.5;"Core i5 7200U";"Core i5";"HDD";1024;"";0
